Team_1,Team_2,Team1_Score,Team2_Score,Team1_Raid_Points,Team2_Raid_Points,Team1_Tackle_Points,Team2_Tackle_Points,Team1_AllOut_Points,Team2_AllOut_Points,Team1_Extra_Points,Team2_Extra_Points,Season,Winner
U Mumba,Puneri Paltan,31,22,11,7,14,12,4,0,2,3,6,1
UP Yoddha,Bengaluru Bulls,29,35,12,20,12,12,2,2,3,1,6,2
Dabang Delhi,Gujarat Fortune Giants,38,45,26,25,6,13,4,4,2,3,6,2
UP Yoddha,Bengal Warriors,30,30,19,19,8,7,2,2,1,2,6,0
Jaipur Pink Panthers,Haryana Steelers,38,32,21,22,12,7,4,2,1,1,6,1
UP Yoddha,Telugu Titans,26,26,11,13,13,11,2,2,0,0,6,0
Haryana Steelers,Dabang Delhi,33,39,20,23,9,12,2,4,2,0,6,2
UP Yoddha,Bengaluru Bulls,27,37,14,19,12,12,0,4,1,2,6,2
U Mumba,Jaipur Pink Panthers,48,24,24,16,15,7,8,0,1,1,6,1
Bengal Warriors,Telugu Titans,30,25,11,13,14,11,2,0,3,1,6,1
Patna Pirates,Bengal Warriors,50,30,28,17,15,10,6,2,1,1,6,1
U Mumba,Gujarat Fortune Giants,36,38,19,22,14,9,2,4,1,3,6,2
Jaipur Pink Panthers,Dabang Delhi,29,40,22,27,7,8,0,4,0,1,6,2
U Mumba,Haryana Steelers,31,35,19,20,10,12,2,2,0,1,6,2
Puneri Paltan,Telugu Titans,25,28,12,14,9,10,2,4,2,0,6,2
U Mumba,UP Yoddha,41,24,15,10,18,13,6,0,2,1,6,1
Tamil Thalaivas,Haryana Steelers,32,32,17,18,11,9,2,2,2,3,6,0
U Mumba,Bengaluru Bulls,32,29,14,21,11,4,4,2,3,2,6,1
Patna Pirates,Dabang Delhi,38,35,23,24,9,9,4,2,2,0,6,1
U Mumba,Tamil Thalaivas,36,22,14,15,17,5,4,0,1,2,6,1
Gujarat Fortune Giants,Bengal Warriors,35,23,18,13,10,8,4,0,3,2,6,1
Jaipur Pink Panthers,UP Yoddha,45,28,20,14,19,12,6,0,0,2,6,1
Puneri Paltan,Bengal Warriors,22,26,13,12,6,10,0,2,3,2,6,2
Gujarat Fortune Giants,Bengaluru Bulls,30,30,20,17,6,10,2,2,2,1,6,0
Jaipur Pink Panthers,Bengaluru Bulls,32,45,21,28,9,9,2,6,0,2,6,2
Gujarat Fortune Giants,UP Yoddha,37,32,17,17,12,11,4,2,4,2,6,1
Tamil Thalaivas,Telugu Titans,27,23,15,15,9,7,2,0,1,1,6,1
Gujarat Fortune Giants,Dabang Delhi,26,29,13,12,12,13,0,2,1,2,6,2
Patna Pirates,Tamil Thalaivas,45,27,28,21,10,4,6,2,1,0,6,1
Gujarat Fortune Giants,U Mumba,39,35,21,22,12,10,4,2,2,1,6,1
Gujarat Fortune Giants,Haryana Steelers,40,31,20,20,15,8,4,0,1,3,6,1
Bengaluru Bulls,Bengal Warriors,31,33,25,23,3,7,2,2,1,1,6,2
Jaipur Pink Panthers,Puneri Paltan,30,30,15,14,12,9,2,2,1,5,6,0
U Mumba,Dabang Delhi,39,23,18,15,15,5,4,0,2,3,6,1
Bengaluru Bulls,Tamil Thalaivas,36,22,18,13,13,9,4,0,1,0,6,1
Dabang Delhi,Haryana Steelers,27,34,15,16,9,13,0,2,3,3,6,2
Bengaluru Bulls,Patna Pirates,32,35,22,18,7,10,2,2,1,5,6,2
Tamil Thalaivas,Telugu Titans,31,25,13,11,15,10,2,0,1,4,6,1
Bengaluru Bulls,UP Yoddha,37,27,20,14,13,12,4,0,0,1,6,1
Haryana Steelers,Puneri Paltan,33,35,19,22,10,8,4,4,0,1,6,2
Bengaluru Bulls,Telugu Titans,34,26,19,12,13,12,2,2,0,0,6,1
Puneri Paltan,Gujarat Fortune Giants,20,35,6,13,12,14,0,4,2,4,6,2
Bengaluru Bulls,Bengal Warriors,37,44,28,28,6,9,2,6,1,1,6,2
Dabang Delhi,Jaipur Pink Panthers,48,35,31,29,9,4,6,2,2,0,6,1
Tamil Thalaivas,Patna Pirates,35,35,25,22,8,7,2,4,0,2,6,0
Dabang Delhi,U Mumba,34,41,20,27,8,10,4,4,2,0,6,2
U Mumba,Gujarat Fortune Giants,36,26,14,15,17,8,4,0,1,3,6,1
Dabang Delhi,Puneri Paltan,35,24,17,17,13,7,4,0,1,0,6,1
Patna Pirates,Gujarat Fortune Giants,27,45,13,22,13,17,0,6,1,0,6,2
Dabang Delhi,Telugu Titans,34,29,17,21,9,6,4,2,4,0,6,1
Haryana Steelers,Bengal Warriors,35,33,19,24,10,6,2,2,4,1,6,1
Dabang Delhi,Bengaluru Bulls,32,31,18,24,10,5,4,0,0,2,6,1
UP Yoddha,Haryana Steelers,30,29,19,22,9,5,2,0,0,2,6,1
Dabang Delhi,Tamil Thalaivas,37,33,18,24,10,4,4,2,5,3,6,1
Telugu Titans,Gujarat Fortune Giants,27,29,16,20,6,5,2,2,3,2,6,2
Patna Pirates,Puneri Paltan,53,36,33,28,12,6,6,0,2,2,6,1
U Mumba,Bengal Warriors,31,20,15,10,13,8,2,0,1,2,6,1
Telugu Titans,Jaipur Pink Panthers,36,26,21,19,10,7,4,0,1,0,6,1
Tamil Thalaivas,Jaipur Pink Panthers,24,37,16,18,7,15,0,4,1,0,6,2
Telugu Titans,Haryana Steelers,35,31,18,20,15,7,2,2,0,2,6,1
Dabang Delhi,U Mumba,19,44,11,23,8,15,0,6,0,0,6,2
Telugu Titans,UP Yoddha,20,27,11,13,9,11,0,2,0,1,6,2
Haryana Steelers,Gujarat Fortune Giants,37,47,26,30,8,12,2,4,1,1,6,2
Telugu Titans,Bengaluru Bulls,24,37,16,18,8,13,0,4,0,2,6,2
Telugu Titans,Patna Pirates,41,36,22,24,14,10,4,2,1,0,6,1
Jaipur Pink Panthers,Puneri Paltan,36,23,14,14,17,9,4,0,1,0,6,1
Bengal Warriors,Tamil Thalaivas,28,21,16,11,10,10,2,0,0,0,6,1
UP Yoddha,Tamil Thalaivas,25,25,16,13,6,8,0,0,3,4,6,0
Jaipur Pink Panthers,U Mumba,35,35,18,22,10,10,4,2,3,1,6,0
Patna Pirates,UP Yoddha,31,47,21,26,9,13,0,6,1,2,6,2
Jaipur Pink Panthers,Gujarat Fortune Giants,29,34,16,18,9,13,2,2,2,1,6,2
Bengaluru Bulls,Telugu Titans,44,28,22,16,12,9,6,2,4,1,6,1
Jaipur Pink Panthers,Haryana Steelers,39,30,23,19,11,9,4,2,1,0,6,1
Patna Pirates,Bengaluru Bulls,40,40,26,26,7,11,4,2,3,1,6,0
Jaipur Pink Panthers,Gujarat Fortune Giants,31,33,18,21,8,8,2,4,3,0,6,2
Jaipur Pink Panthers,Dabang Delhi,37,37,25,26,9,9,2,2,1,0,6,0
Bengal Warriors,Tamil Thalaivas,27,24,17,18,10,6,0,0,0,0,6,1
Puneri Paltan,Telugu Titans,35,20,14,15,16,5,4,0,1,0,6,1
U Mumba,UP Yoddha,32,34,17,19,12,13,2,2,1,0,6,2
Bengal Warriors,Patna Pirates,39,23,19,17,15,6,4,0,1,0,6,1
Bengal Warriors,Dabang Delhi,31,37,18,23,9,6,2,4,2,4,6,2
Haryana Steelers,Tamil Thalaivas,40,40,30,26,8,8,2,4,0,2,6,0
Bengal Warriors,Telugu Titans,39,34,27,22,7,10,2,2,3,0,6,1
Gujarat Fortune Giants,Patna Pirates,37,29,18,18,14,6,2,0,3,5,6,1
Bengal Warriors,Bengaluru Bulls,37,31,24,19,7,6,4,2,2,4,6,1
Jaipur Pink Panthers,Bengaluru Bulls,32,40,23,25,9,10,0,4,0,1,6,2
Bengal Warriors,UP Yoddha,25,41,16,19,7,14,0,6,2,2,6,2
U Mumba,UP Yoddha,29,34,18,12,11,18,0,2,0,2,6,2
Dabang Delhi,Bengal Warriors,39,28,22,18,11,6,4,2,2,2,6,1
Gujarat Fortune Giants,Bengaluru Bulls,29,41,21,22,6,13,2,4,0,2,6,2
UP Yoddha,Dabang Delhi,45,33,26,22,10,4,6,2,3,5,6,1
Gujarat Fortune Giants,UP Yoddha,38,31,22,17,10,10,4,2,2,2,6,1
Bengaluru Bulls,Gujarat Fortune Giants,38,33,26,20,7,8,4,2,1,3,6,1
Telugu Titans,U Mumba,25,31,15,16,10,10,0,4,0,1,7,2
Bengaluru Bulls,Patna Pirates,34,32,17,18,15,12,2,2,0,0,7,1
Bengaluru Bulls,Gujarat Fortune Giants,24,42,17,17,6,17,0,6,1,2,7,2
Telugu Titans,Tamil Thalaivas,26,39,15,20,8,15,0,4,3,0,7,2
U Mumba,Jaipur Pink Panthers,23,42,18,25,5,11,0,6,0,0,7,2
Puneri Paltan,Haryana Steelers,24,34,14,15,10,14,0,4,0,1,7,2
UP Yoddha,Bengal Warriors,17,48,10,24,5,14,0,8,2,2,7,2
Telugu Titans,Dabang Delhi,33,34,27,24,6,7,0,2,0,1,7,2
Dabang Delhi,Tamil Thalaivas,30,29,13,12,10,12,2,2,5,3,7,1
UP Yoddha,Gujarat Fortune Giants,19,44,12,23,5,14,0,6,2,1,7,2
Telugu Titans,Patna Pirates,22,34,10,12,9,16,0,4,3,2,7,2
U Mumba,Puneri Paltan,33,23,15,12,12,11,4,0,2,0,7,1
Jaipur Pink Panthers,Bengal Warriors,27,25,12,13,10,11,2,0,3,1,7,1
Dabang Delhi,Haryana Steelers,41,21,22,16,9,4,4,0,6,1,7,1
U Mumba,Bengaluru Bulls,26,30,15,15,6,8,2,2,3,5,7,2
Tamil Thalaivas,Patna Pirates,23,24,9,7,11,13,0,0,3,4,7,2
Bengal Warriors,Puneri Paltan,43,23,22,13,12,9,6,0,3,1,7,1
Haryana Steelers,Jaipur Pink Panthers,21,37,12,17,9,14,0,4,0,2,7,2
U Mumba,UP Yoddha,23,27,10,10,11,13,0,2,2,2,7,2
Gujarat Fortune Giants,Dabang Delhi,31,26,17,13,10,9,2,2,2,2,7,1
Telugu Titans,UP Yoddha,20,20,9,5,10,13,0,0,1,2,7,0
U Mumba,Gujarat Fortune Giants,32,20,15,10,11,8,4,0,2,2,7,1
Patna Pirates,Jaipur Pink Panthers,21,34,12,12,7,17,0,4,2,1,7,2
Bengal Warriors,Bengaluru Bulls,42,43,29,31,6,8,4,4,3,0,7,2
Haryana Steelers,Tamil Thalaivas,28,35,16,20,10,10,2,4,0,1,7,2
Patna Pirates,Puneri Paltan,20,41,11,19,7,17,2,4,0,1,7,2
Dabang Delhi,Jaipur Pink Panthers,35,24,9,8,5,2,2,0,0,0,7,1
Gujarat Fortune Giants,Puneri Paltan,31,33,21,15,8,13,2,2,0,3,7,2
UP Yoddha,Tamil Thalaivas,28,28,13,13,12,10,2,2,1,3,7,0
Patna Pirates,Haryana Steelers,26,35,18,19,6,12,2,4,0,0,7,2
Telugu Titans,Bengaluru Bulls,26,47,16,21,10,19,0,4,0,3,7,2
Bengal Warriors,U Mumba,32,30,17,13,10,10,4,4,1,3,7,1
Patna Pirates,UP Yoddha,41,20,17,14,16,5,6,0,2,1,7,1
Gujarat Fortune Giants,Tamil Thalaivas,28,34,14,15,8,12,2,4,4,3,7,2
Puneri Paltan,Dabang Delhi,30,32,22,19,7,9,0,2,1,2,7,2
Bengaluru Bulls,Haryana Steelers,30,33,17,18,9,12,2,2,2,1,7,2
Gujarat Fortune Giants,Telugu Titans,24,30,15,11,8,16,0,2,1,1,7,2
Bengal Warriors,Telugu Titans,29,29,13,13,11,10,2,2,3,4,7,0
UP Yoddha,Bengaluru Bulls,35,33,16,22,15,10,4,0,0,1,7,1
UP Yoddha,Haryana Steelers,33,36,21,20,10,12,2,4,0,0,7,2
Gujarat Fortune Giants,Bengal Warriors,26,28,15,16,11,7,0,2,0,3,7,2
Jaipur Pink Panthers,Puneri Paltan,33,25,16,16,13,8,4,0,0,1,7,1
U Mumba,Patna Pirates,34,30,24,17,7,8,2,2,1,3,7,1
Gujarat Fortune Giants,Jaipur Pink Panthers,19,22,8,9,9,13,0,0,2,0,7,2
Tamil Thalaivas,Bengaluru Bulls,21,32,15,17,6,10,0,4,0,1,7,2
Bengal Warriors,Dabang Delhi,30,30,19,18,7,7,2,2,2,3,7,0
Haryana Steelers,Telugu Titans,29,40,22,24,3,10,0,4,4,2,7,2
Tamil Thalaivas,Puneri Paltan,31,31,18,16,10,12,2,2,1,1,7,0
U Mumba,Haryana Steelers,27,30,14,16,10,9,2,2,1,3,7,2
UP Yoddha,Jaipur Pink Panthers,31,24,18,14,11,9,2,0,0,1,7,1
Puneri Paltan,Bengaluru Bulls,31,23,13,16,16,6,2,0,0,1,7,1
Tamil Thalaivas,Jaipur Pink Panthers,26,28,16,14,6,11,2,0,2,3,7,2
Bengal Warriors,Patna Pirates,35,26,20,18,11,6,4,2,0,0,7,1
Gujarat Fortune Giants,Patna Pirates,29,26,16,14,11,9,2,2,0,1,7,1
Tamil Thalaivas,U Mumba,24,29,14,14,6,11,0,2,4,2,7,2
Dabang Delhi,Bengaluru Bulls,33,31,21,19,10,10,2,2,0,0,7,1
Jaipur Pink Panthers,Telugu Titans,21,24,6,9,14,15,0,0,1,0,7,2
Jaipur Pink Panthers,Bengaluru Bulls,30,41,13,21,12,16,2,4,3,0,7,2
Dabang Delhi,UP Yoddha,36,27,20,18,10,9,4,0,2,0,7,1
Bengal Warriors,Haryana Steelers,33,36,24,23,5,8,2,2,2,3,7,2
UP Yoddha,Puneri Paltan,35,30,20,19,10,8,4,2,1,1,7,1
Gujarat Fortune Giants,Haryana Steelers,25,41,16,20,8,14,0,6,1,1,7,2
Dabang Delhi,U Mumba,40,24,18,14,16,10,6,0,0,0,7,1
Bengal Warriors,Tamil Thalaivas,35,26,21,20,10,6,4,0,0,0,7,1
Telugu Titans,Puneri Paltan,27,34,10,15,17,14,0,2,0,3,7,2
Dabang Delhi,Patna Pirates,38,35,23,24,11,7,4,4,0,0,7,1
Bengaluru Bulls,Gujarat Fortune Giants,23,32,9,11,13,13,0,4,1,4,7,2
U Mumba,Jaipur Pink Panthers,47,21,22,15,15,5,8,0,2,1,7,1
UP Yoddha,Bengal Warriors,32,29,12,15,16,12,2,0,2,2,7,1
Bengaluru Bulls,Tamil Thalaivas,33,27,22,14,8,12,2,0,1,1,7,1
Puneri Paltan,Haryana Steelers,27,41,18,21,8,14,0,4,1,2,7,2
Telugu Titans,Tamil Thalaivas,35,30,21,22,9,8,2,0,3,0,7,1
Jaipur Pink Panthers,Dabang Delhi,44,46,22,28,14,10,4,4,4,4,7,2
Bengaluru Bulls,Patna Pirates,40,39,24,21,13,15,2,2,1,1,7,1
Puneri Paltan,U Mumba,33,33,12,18,12,11,4,2,5,2,7,0
Patna Pirates,UP Yoddha,29,41,19,20,8,14,2,6,0,1,7,2
Bengaluru Bulls,Telugu Titans,40,39,28,29,7,8,4,2,1,0,7,1
Bengal Warriors,Gujarat Fortune Giants,25,25,17,16,8,8,0,0,0,1,7,0
Dabang Delhi,Haryana Steelers,25,47,19,26,5,14,0,6,1,1,7,2
Dabang Delhi,Tamil Thalaivas,50,34,32,27,8,3,6,0,4,4,7,1
Bengal Warriors,Puneri Paltan,42,39,27,21,10,12,4,4,1,2,7,1
UP Yoddha,Gujarat Fortune Giants,33,26,16,16,12,7,4,2,1,1,7,1
Tamil Thalaivas,Patna Pirates,25,51,18,28,6,14,0,8,1,1,7,2
Telugu Titans,U Mumba,27,41,15,18,9,15,2,6,1,2,7,2
Haryana Steelers,Jaipur Pink Panthers,32,32,17,16,13,10,2,4,0,2,7,0
Bengal Warriors,U Mumba,29,26,16,20,10,6,2,0,1,0,7,1
Jaipur Pink Panthers,Patna Pirates,33,36,23,23,9,10,0,2,1,1,7,2
Bengal Warriors,Bengaluru Bulls,42,40,25,28,12,7,4,2,1,3,7,1
Puneri Paltan,Gujarat Fortune Giants,43,33,20,17,18,8,4,2,1,6,7,1
Tamil Thalaivas,Haryana Steelers,35,43,22,23,9,15,2,4,2,1,7,2
Dabang Delhi,Gujarat Fortune Giants,34,30,19,19,10,6,4,2,1,3,7,1
Puneri Paltan,Patna Pirates,33,55,25,26,8,18,0,8,0,3,7,2
Jaipur Pink Panthers,UP Yoddha,32,38,20,23,11,8,0,4,1,3,7,2
Telugu Titans,Dabang Delhi,29,37,19,20,9,11,0,4,1,2,7,2
U Mumba,UP Yoddha,39,36,20,22,11,9,4,2,4,3,7,1
Puneri Paltan,Tamil Thalaivas,36,36,19,26,11,6,4,0,2,0,7,0
Bengal Warriors,Haryana Steelers,48,36,30,29,11,5,6,2,1,0,7,1
Telugu Titans,Patna Pirates,42,42,27,29,8,7,4,4,3,2,7,0
Puneri Paltan,Bengaluru Bulls,42,38,18,29,17,7,4,2,3,0,7,1
Jaipur Pink Panthers,Gujarat Fortune Giants,28,28,6,9,20,15,2,2,0,2,7,0
UP Yoddha,Tamil Thalaivas,42,22,19,12,14,7,6,2,3,1,7,1
U Mumba,Gujarat Fortune Giants,31,25,15,15,10,5,4,2,2,3,7,1
Jaipur Pink Panthers,Bengal Warriors,40,41,27,26,8,10,2,4,3,1,7,2
Patna Pirates,Haryana Steelers,34,39,27,24,6,8,0,6,1,1,7,2
Dabang Delhi,Bengaluru Bulls,39,39,20,23,12,10,4,2,3,4,7,0
Telugu Titans,Bengal Warriors,39,40,29,24,7,8,2,4,1,4,7,2
Jaipur Pink Panthers,Puneri Paltan,43,34,29,23,10,8,4,2,0,1,7,1
Patna Pirates,Dabang Delhi,39,43,27,31,6,8,4,2,2,2,7,2
U Mumba,Bengaluru Bulls,33,35,23,19,7,10,2,4,1,2,7,2
Jaipur Pink Panthers,Telugu Titans,31,51,22,33,7,12,0,6,2,0,7,2
Haryana Steelers,UP Yoddha,30,37,18,20,8,12,2,2,2,3,7,2
Gujarat Fortune Giants,Tamil Thalaivas,50,21,27,13,16,7,6,0,1,1,7,1
Puneri Paltan,Dabang Delhi,40,60,27,34,13,13,0,8,0,5,7,2
Haryana Steelers,Gujarat Fortune Giants,38,37,23,18,11,13,2,2,2,4,7,1
Bengal Warriors,Dabang Delhi,42,33,28,23,8,6,6,2,0,2,7,1
Tamil Thalaivas,U Mumba,32,36,18,21,9,8,2,2,3,5,7,2
