player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
pawan kumar sehrawat,74,601,29,72.46%,868,65.43,18,25,568,7.67,3,0,33,0.4,87,37.93%,All
pawan kumar sehrawat,19,256,29,74.05%,343,70.55,6,13,242,12.73,1,0,13,0.66,27,48.14%,7
pawan kumar sehrawat,24,282,22,77.33%,375,72.26,12,13,271,11.29,0,0,11,0.45,40,27.50%,6
pawan kumar sehrawat,9,10,4,45.83%,24,37.5,0,0,9,1,0,0,1,0.11,2,50%,5
pawan kumar sehrawat,10,11,4,48.48%,33,33.33,0,0,11,1.1,0,0,0,0,1,0,4
pawan kumar sehrawat,13,53,7,64.54%,110,40.9,1,0,45,3.46,2,0,8,0.46,17,47.05%,3
pardeep narwal,103,1089,34,77.18%,1823,59.35,49,56,1082,10.5,1,0,7,0.05,34,20.58%,All
pardeep narwal,19,243,26,75.19%,383,63.44,12,13,243,12.78,0,0,0,0,2,0,7
pardeep narwal,21,233,27,76.21%,391,59.59,6,15,233,11.09,0,0,0,0,1,0,6
pardeep narwal,26,369,34,80.71%,586,62.96,18,19,369,14.19,0,0,0,0,10,0,5
pardeep narwal,16,133,18,76.04%,263,49.8,3,5,131,8.18,1,0,2,0.06,6,33.33%,4
pardeep narwal,16,121,24,75.93%,187,62.03,10,5,116,7.25,0,0,5,0.31,13,38.46%,3
pardeep narwal,6,9,4,68.42%,38,23.68,1,0,9,1.5,0,0,0,0,2,0,2
naveen kumar,39,390,17,82.92%,650,58.92,5,24,383,9.82,1,0,7,0.15,17,41.17%,All
naveen kumar,20,258,19,85%,408,62.74,2,19,256,12.8,0,0,2,0.11,6,33%,7
naveen kumar,22,177,15,79.47%,307,56.02,3,8,172,7.81,1,0,5,0.18,12,41.66%,6
maninder singh,77,710,19,80.28%,1202,58.31,21,31,701,9.1,1,0,9,0.1,44,20.45%,All
maninder singh,18,175,19,81.69%,284,61.61,6,8,175,9.72,0,0,0,0,7,0,7
maninder singh,22,206,17,79.52%,376,54.78,6,9,206,9.36,0,0,0,0,5,0,6
maninder singh,21,192,17,82.01%,367,51.77,6,9,190,9.04,0,0,2,0.09,13,15.38%,5
maninder singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
maninder singh,16,137,13,76%,175,74.28,3,5,130,8.12,1,0,7,0.37,19,36.84%,3
vikash kandola,49,380,15,78.82%,784,47.32,11,14,371,7.57,0,0,9,0.18,34,26.47%,All
vikash kandola,14,142,13,81.33%,284,48.59,5,8,138,9.85,0,0,4,0.28,10,40%,7
vikash kandola,22,177,15,77.23%,347,49.56,5,6,172,7.81,0,0,5,0.22,18,27.77%,6
vikash kandola,9,58,9,78.67%,136,42.64,1,0,58,6.44,0,0,0,0,4,0,5
vikash kandola,4,3,3,70.58%,17,17.64,0,0,3,0.75,0,0,0,0,2,0,4
siddharth sirish desai,37,361,23,74.73%,558,63.62,12,17,355,9.59,0,0,6,0.16,14,42.85%,All
siddharth sirish desai,16,140,23,70.88%,237,57.8,2,5,137,8.56,0,0,3,0.18,5,60%,7
siddharth sirish desai,21,221,19,77.57%,321,67.91,10,12,218,10.38,0,0,3,0.14,9,33.33%,6
deepak niwas hooda,121,919,20,81.15%,1725,48.28,20,29,833,6.88,8,4,86,0.64,230,37.39%,All
deepak niwas hooda,18,134,14,80.68%,264,46.59,2,5,123,6.83,2,0,11,0.5,26,42.30%,7
deepak niwas hooda,22,208,20,80.32%,366,53.55,4,10,196,8.9,1,1,12,0.5,38,31.57%,6
deepak niwas hooda,24,186,17,78.88%,360,47.77,8,7,172,7.16,1,0,14,0.54,34,41.17%,5
deepak niwas hooda,16,130,17,85.92%,277,45.48,2,2,126,7.87,0,0,4,0.25,28,14.28%,4
deepak niwas hooda,12,76,13,82.16%,157,43.94,0,1,69,5.75,0,0,7,0.58,21,33.33%,3
deepak niwas hooda,15,96,14,82.35%,153,39.21,1,1,60,4,4,3,36,2.13,61,59.01%,2
deepak niwas hooda,14,89,18,78.37%,148,58.78,3,3,87,6.21,0,0,2,0.14,22,9.09%,1
rahul chaudhari,118,996,23,80.02%,1977,47.44,24,40,938,7.94,5,0,58,0.44,183,31.69%,All
rahul chaudhari,18,120,14,73.25%,258,43.79,0,4,113,6.27,0,0,7,0.38,26,26.92%,7
rahul chaudhari,21,166,18,75.14%,350,45.42,4,4,159,7.57,1,0,7,0.28,19,36.84%,6
rahul chaudhari,22,193,17,81.06%,412,44.66,5,8,184,8.36,0,0,9,0.4,33,27.27%,5
rahul chaudhari,16,150,18,86.15%,325,44.92,6,7,146,9.12,1,0,4,0.18,11,36.36%,4
rahul chaudhari,13,99,17,79.80%,208,41.82,1,4,87,6.69,2,0,12,0.76,29,41.37%,3
rahul chaudhari,14,107,14,83.06%,183,53.55,6,5,98,7,0,0,9,0.64,34,26.47%,2
rahul chaudhari,14,161,23,82.15%,241,62.65,2,8,151,10.78,1,0,10,0.64,31,32.25%,1
manjeet,40,220,16,74.51%,412,43.44,5,4,179,4.47,2,0,41,0.97,90,45.55%,All
manjeet,18,118,16,76.23%,223,41.25,2,2,92,5.11,1,0,26,1.38,52,50%,7
manjeet,22,102,10,72.48%,189,46.03,3,2,87,3.95,1,0,15,0.63,38,39.47%,6
shrikant jadhav,71,367,17,72.64%,775,44.77,8,9,347,4.88,3,0,20,0.23,45,44.44%,All
shrikant jadhav,17,106,15,77.02%,222,46.39,2,2,103,6.05,0,0,3,0.17,8,37.50%,7
shrikant jadhav,25,146,17,70.48%,332,42.46,4,5,141,5.64,1,0,5,0.16,11,45.45%,6
shrikant jadhav,19,98,13,74.70%,170,50.58,2,2,86,4.52,2,0,12,0.52,22,54.54%,5
shrikant jadhav,5,7,5,68.75%,16,43.75,0,0,7,1.4,0,0,0,0,3,0,4
shrikant jadhav,5,10,7,57.14%,35,28.57,0,0,10,2,0,0,0,0,1,0,3
shrikant jadhav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
rohit gulia,56,204,13,76.07%,560,34.46,2,3,193,3.44,0,0,11,0.19,56,19.64%,All
rohit gulia,18,105,13,73.79%,248,40.32,0,3,100,5.55,0,0,5,0.27,17,29.41%,7
rohit gulia,19,61,9,77.63%,152,38.15,2,0,58,3.05,0,0,3,0.15,19,15.78%,6
rohit gulia,19,38,9,78.12%,160,21.87,0,0,35,1.84,0,0,3,0.15,20,15%,5
k  prapanjan,81,369,12,77.07%,820,44.26,7,10,363,4.48,0,0,6,0.07,50,12%,All
k  prapanjan,18,101,12,79.18%,197,50.25,4,3,99,5.5,0,0,2,0.11,14,14.28%,7
k  prapanjan,22,123,12,78.03%,255,47.84,1,4,122,5.54,0,0,1,0.04,11,9.09%,6
k  prapanjan,22,124,11,77.45%,306,40.19,2,3,123,5.59,0,0,1,0.04,17,5.88%,5
k  prapanjan,11,12,3,69.04%,42,28.57,0,0,12,1.09,0,0,0,0,1,0,4
k  prapanjan,4,2,1,16.66%,6,33.33,0,0,2,0.5,0,0,0,0,2,0,3
k  prapanjan,4,7,3,71.42%,14,35.71,0,0,5,1.25,0,0,2,0.5,5,40%,2
abhishek singh,30,152,13,81.87%,331,43.8,3,7,145,4.83,0,0,7,0.23,31,22.58%,All
abhishek singh,15,99,13,81.77%,214,45.79,2,5,98,6.53,0,0,1,0.06,12,8.33%,7
abhishek singh,15,53,13,82.05%,117,40.17,1,2,47,3.13,0,0,6,0.4,19,31.57%,6
pankaj mohite,15,99,17,76.88%,186,52.68,4,2,98,6.53,0,0,1,0.06,12,8.33%,All
pankaj mohite,15,99,17,76.88%,186,52.68,4,2,98,6.53,0,0,1,0.06,12,8.33%,7
mohammad esmaeil nabibakhsh,18,93,10,80.57%,175,38.85,3,1,68,3.77,2,1,25,1.27,50,50%,All
mohammad esmaeil nabibakhsh,18,93,10,80.57%,175,38.85,3,1,68,3.77,2,1,25,1.27,50,50%,7
rohit kumar,89,703,32,79.08%,1401,47.39,15,26,664,7.46,2,1,39,0.41,104,37.50%,All
rohit kumar,17,92,14,70.86%,230,38.26,2,3,88,5.17,0,0,4,0.23,17,23.52%,7
rohit kumar,24,171,16,81.23%,341,47.5,5,5,162,6.75,0,1,9,0.37,30,30%,6
rohit kumar,22,231,32,80.38%,418,52.39,1,12,219,9.95,1,0,12,0.5,27,44.44%,5
rohit kumar,14,100,11,77.77%,234,39.74,3,1,93,6.64,1,0,7,0.42,16,43.75%,4
rohit kumar,12,109,16,84.26%,178,57.3,4,5,102,8.5,0,0,7,0.58,14,50%,3
v  ajith kumar,15,89,18,70.46%,149,59.73,1,3,89,5.93,0,0,0,0,9,0,All
v  ajith kumar,15,89,18,70.46%,149,59.73,1,3,89,5.93,0,0,0,0,9,0,7
sachin tanwar,63,462,14,76.03%,868,49.88,4,16,433,6.87,3,0,29,0.41,55,52.72%,All
sachin tanwar,16,85,10,72.46%,207,40.57,1,2,84,5.25,0,0,1,0.06,8,12.50%,7
sachin tanwar,23,204,12,78.14%,366,51.91,1,7,190,8.26,2,0,14,0.52,22,63.63%,6
sachin tanwar,24,173,14,75.93%,295,53.89,2,7,159,6.62,1,0,14,0.54,25,56%,5
vinay,17,84,14,80.72%,166,48.19,5,2,80,4.7,0,0,4,0.23,16,25%,All
vinay,17,84,14,80.72%,166,48.19,5,2,80,4.7,0,0,4,0.23,16,25%,7
chandran ranjit,58,300,11,75.29%,668,43.41,9,5,290,5,2,0,10,0.13,41,24.39%,All
chandran ranjit,16,84,11,73.26%,202,39.6,3,1,80,5,1,0,4,0.18,14,28.57%,7
chandran ranjit,24,158,11,76.89%,316,48.41,3,3,153,6.37,1,0,5,0.16,15,33.33%,6
chandran ranjit,11,51,11,77.86%,122,41.8,3,1,51,4.63,0,0,0,0,4,0,5
chandran ranjit,1,1,1,62.50%,8,0,0,0,0,0,0,0,1,1,2,50%,4
chandran ranjit,6,6,4,60%,20,30,0,0,6,1,0,0,0,0,6,0,3
arjun deshwal,19,82,15,75.47%,159,50.31,2,2,80,4.21,0,0,2,0.1,5,40%,All
arjun deshwal,16,78,15,75.67%,148,51.35,2,2,76,4.75,0,0,2,0.12,5,40%,7
arjun deshwal,3,4,4,72.72%,11,36.36,0,0,4,1.33,0,0,0,0,0,0,6
sandeep kumar dhull,62,196,8,60%,5,20,0,0,1,0.01,18,13,195,2.85,369,52.84%,All
sandeep kumar dhull,18,62,8,66.66%,3,33.33,0,0,1,0.05,7,5,61,3,113,53.98%,7
sandeep kumar dhull,22,67,6,100%,1,0,0,0,0,0,5,4,67,2.81,128,52.34%,6
sandeep kumar dhull,12,35,8,0,0,0,0,0,0,0,0,2,35,2.91,67,52.23%,5
sandeep kumar dhull,10,32,6,0,1,0,0,0,0,0,6,2,32,2.6,61,52.45%,4
more gb,44,167,13,72.20%,349,38.1,1,2,133,3.02,3,0,34,0.7,57,59.64%,All
more gb,16,60,9,75%,132,30.3,0,0,40,2.5,1,0,20,1.18,33,60.60%,7
more gb,22,91,13,71.51%,172,45.93,1,2,79,3.59,2,0,12,0.45,21,57.14%,6
more gb,6,16,6,66.66%,45,31.11,0,0,14,2.33,0,0,2,0.33,3,66.66%,5
sumit,17,60,6,83.33%,6,33.33,0,0,2,0.11,0,5,58,3.41,106,54.71%,All
sumit,17,60,6,83.33%,6,33.33,0,0,2,0.11,0,5,58,3.41,106,54.71%,7
naveen,34,160,17,75.49%,306,47.05,5,2,144,4.23,2,0,16,0.41,51,31.37%,All
naveen,13,58,14,72.56%,113,49.55,1,1,56,4.3,0,0,2,0.15,8,25%,7
naveen,21,102,17,77.20%,193,45.59,4,1,88,4.19,2,0,14,0.57,43,32.55%,6
vishal bhardwaj,57,196,9,98.33%,60,1.66,0,0,1,0.01,21,15,195,3.05,342,57.01%,All
vishal bhardwaj,16,58,8,100%,14,0,0,0,0,0,9,5,58,3.06,95,61.05%,7
vishal bhardwaj,17,60,9,100%,40,0,0,0,0,0,9,5,60,3,95,63.15%,6
vishal bhardwaj,22,71,7,80%,5,0,0,0,0,0,3,5,71,3.09,137,51.82%,5
vishal bhardwaj,2,7,5,100%,1,100,0,0,1,0.5,0,0,6,3,15,40%,4
ajay thakur,115,811,20,77.53%,1687,46.82,23,29,790,6.86,0,0,21,0.18,82,25.60%,All
ajay thakur,13,58,11,74.85%,171,33.91,2,1,58,4.46,0,0,0,0,5,0,7
ajay thakur,22,204,20,79.38%,388,52.31,3,7,203,9.22,0,0,1,0.04,11,9.09%,6
ajay thakur,22,222,20,81.57%,407,52.33,3,12,213,9.68,0,0,9,0.4,25,36%,5
ajay thakur,16,64,12,78.06%,155,40.64,5,1,63,3.93,0,0,1,0.06,8,12.50%,4
ajay thakur,14,56,11,77.02%,148,35.13,2,1,52,3.71,0,0,4,0.28,9,44.44%,3
ajay thakur,13,80,12,71.05%,190,41.57,6,2,79,6.07,0,0,1,0.07,6,16.66%,2
ajay thakur,15,127,16,74.56%,228,53.5,2,5,122,8.13,0,0,5,0.33,18,27.77%,1
fazel atrachali,96,294,9,88.63%,44,9.09,0,0,4,0.04,18,19,290,2.83,452,64.15%,All
fazel atrachali,17,57,6,91.66%,12,16.66,0,0,2,0.11,3,2,55,3.05,92,59.78%,7
fazel atrachali,23,83,7,100%,14,0,0,0,0,0,3,6,83,3.47,130,63.84%,6
fazel atrachali,24,57,9,81.81%,11,0,0,0,0,0,3,4,57,2.25,99,57.57%,5
fazel atrachali,16,52,8,100%,1,0,0,0,0,0,7,4,52,2.81,72,72.22%,4
fazel atrachali,11,33,6,50%,2,50,0,0,1,0.09,0,2,32,2.9,46,69.56%,3
fazel atrachali,5,12,7,75%,4,25,0,0,1,0.2,2,1,11,1.8,13,84.61%,2
surender gill,14,55,8,74.64%,142,33.09,0,0,47,3.35,1,0,8,0.5,12,66.66%,All
surender gill,14,55,8,74.64%,142,33.09,0,0,47,3.35,1,0,8,0.5,12,66.66%,7
sandeep narwal,118,537,14,86.19%,717,33.89,11,1,243,2.05,28,16,294,2.25,538,54.64%,All
sandeep narwal,17,54,6,82.35%,51,27.45,0,0,14,0.82,5,1,40,2.05,65,61.53%,7
sandeep narwal,18,66,7,87.20%,86,29.06,1,0,25,1.38,7,1,41,1.88,81,50.61%,6
sandeep narwal,21,85,9,93.16%,117,28.2,1,0,33,1.57,3,1,52,2.33,102,50.98%,5
sandeep narwal,16,66,7,89.77%,88,27.27,0,0,24,1.5,2,3,42,2.5,83,50.60%,4
sandeep narwal,14,64,11,98.18%,55,16.36,0,0,9,0.64,2,6,55,3.78,95,57.89%,3
sandeep narwal,16,83,11,81.50%,146,31.5,1,0,46,2.87,3,2,37,2.12,71,52.11%,2
sandeep narwal,16,119,14,80.45%,174,52.87,8,1,92,5.75,6,2,27,1.31,41,65.85%,1
po surjeet singh,91,275,9,96.99%,133,6.76,0,0,9,0.09,16,25,266,2.74,523,50.86%,All
po surjeet singh,18,53,7,94.44%,18,11.11,0,0,2,0.11,5,5,51,2.55,100,51%,7
po surjeet singh,23,57,7,96.29%,54,5.55,0,0,3,0.13,2,4,54,2.26,129,41.86%,6
po surjeet singh,24,79,8,98.07%,52,5.76,0,0,3,0.12,4,9,76,3,146,52.05%,5
po surjeet singh,14,37,5,100%,3,0,0,0,0,0,4,2,37,2.35,73,50.68%,4
po surjeet singh,12,49,9,100%,6,16.66,0,0,1,0.08,1,5,48,3.91,75,64%,3
baldev singh,36,81,7,66.66%,6,16.66,0,0,1,0.02,8,7,80,2,164,48.78%,All
baldev singh,18,53,7,80%,5,0,0,0,0,0,5,6,53,2.66,94,56.38%,7
baldev singh,18,28,5,0,1,100,0,0,1,0.05,3,1,27,1.33,70,38.57%,6
nitin tomar,64,446,20,82.22%,906,47.01,10,14,426,6.65,2,0,20,0.28,73,27.39%,All
nitin tomar,11,52,11,74.13%,116,42.24,0,1,49,4.45,0,0,3,0.27,15,20%,7
nitin tomar,11,102,20,83.24%,191,52.35,1,4,100,9.09,0,0,2,0.18,9,22.22%,6
nitin tomar,20,177,18,86.23%,327,51.07,7,7,167,8.35,1,0,10,0.45,30,33.33%,5
nitin tomar,12,34,7,74.10%,112,29.46,1,0,33,2.75,0,0,1,0.08,8,12.50%,4
nitin tomar,10,81,13,84.37%,160,48.12,1,2,77,7.7,1,0,4,0.3,11,36.36%,3
nitin rawal,44,167,14,78.73%,301,40.53,6,2,122,2.77,6,1,45,0.88,94,47.87%,All
nitin rawal,14,51,8,75%,96,33.33,1,0,32,2.28,4,1,19,1.07,31,61.29%,7
nitin rawal,9,31,11,78.94%,57,43.85,1,0,25,2.77,1,0,6,0.55,11,54.54%,6
nitin rawal,21,85,14,81.08%,148,43.91,4,2,65,3.09,1,0,20,0.9,52,38.46%,5
neeraj kumar,35,63,11,60%,5,0,0,0,0,0,5,3,63,1.65,150,42%,All
neeraj kumar,18,50,11,75%,4,0,0,0,0,0,4,3,50,2.55,101,49.50%,7
neeraj kumar,17,13,4,0,1,0,0,0,0,0,1,0,13,0.7,49,26.53%,6
rinku narwal,46,91,7,88.88%,18,11.11,0,0,2,0.04,7,4,89,1.78,185,48.10%,All
rinku narwal,18,48,5,100%,3,0,0,0,0,0,2,3,48,2.55,100,48%,7
rinku narwal,15,21,5,71.42%,7,14.28,0,0,1,0.06,1,0,20,1.26,51,39.21%,6
rinku narwal,13,22,7,100%,8,12.5,0,0,1,0.07,4,1,21,1.3,34,61.76%,5
ravinder pahal,106,325,9,86.20%,58,24.13,0,0,14,0.13,19,22,311,2.75,626,49.68%,All
ravinder pahal,17,48,8,100%,1,0,0,0,0,0,0,2,48,2.82,107,44.85%,7
ravinder pahal,22,59,6,0,0,0,0,0,0,0,3,4,59,2.54,125,47.20%,6
ravinder pahal,19,54,7,83.33%,6,33.33,0,0,2,0.1,3,3,52,2.57,104,50%,5
ravinder pahal,14,37,6,0,0,0,0,0,0,0,2,3,37,2.5,72,51.38%,4
ravinder pahal,11,34,9,88.23%,34,23.52,0,0,8,0.72,4,2,26,2,58,44.82%,3
ravinder pahal,14,64,9,82.35%,17,23.52,0,0,4,0.28,7,5,60,3.78,96,62.50%,2
ravinder pahal,9,29,7,0,0,0,0,0,0,0,0,3,29,3.22,64,45.31%,1
sunil kumar,68,182,8,97.36%,76,3.94,0,0,3,0.04,12,10,179,2.45,331,54.07%,All
sunil kumar,18,47,7,100%,13,7.69,0,0,1,0.05,6,4,46,2.22,86,53.48%,7
sunil kumar,25,76,8,96.66%,30,0,0,0,0,0,4,3,76,2.88,140,54.28%,6
sunil kumar,24,58,7,96.77%,31,3.22,0,0,1,0.04,2,3,57,2.29,101,56.43%,5
sunil kumar,1,1,1,100%,2,50,0,0,1,1,0,0,0,0,4,0,4
jaideep,66,176,7,92.30%,13,0,0,0,0,0,10,12,176,2.51,388,45.36%,All
jaideep,18,47,7,0,0,0,0,0,0,0,3,3,47,2.44,100,47%,7
jaideep,22,58,5,87.50%,8,0,0,0,0,0,2,4,58,2.54,134,43.28%,6
jaideep,26,71,7,100%,5,0,0,0,0,0,5,5,71,2.53,154,46.10%,5
surinder singh,61,166,9,84.61%,13,30.76,1,0,4,0.06,5,7,162,2.57,374,43.31%,All
surinder singh,17,46,9,71.42%,7,57.14,1,0,4,0.23,2,2,42,2.35,95,44.21%,7
surinder singh,22,62,7,100%,3,0,0,0,0,0,3,2,62,2.68,127,48.81%,6
surinder singh,22,58,6,100%,3,0,0,0,0,0,0,3,58,2.63,152,38.15%,5
mahender singh,62,167,10,90%,20,5,0,0,1,0.01,13,12,166,2.46,325,51.07%,All
mahender singh,16,46,7,100%,8,0,0,0,0,0,7,3,46,2.43,90,51.11%,7
mahender singh,24,63,6,80%,10,0,0,0,0,0,1,6,63,2.58,122,51.63%,6
mahender singh,22,58,10,100%,2,50,0,0,1,0.04,5,3,57,2.36,113,50.44%,5
monu goyat,68,475,17,76.16%,944,47.98,7,20,453,6.66,3,0,22,0.27,85,25.88%,All
monu goyat,9,46,10,73.63%,110,39.09,0,1,43,4.77,1,0,3,0.22,10,30%,7
monu goyat,20,164,17,74.41%,301,53.15,3,10,160,8,0,0,4,0.2,27,14.81%,6
monu goyat,26,202,12,78.63%,365,52.32,4,9,191,7.34,1,0,11,0.38,35,31.42%,5
monu goyat,13,63,11,75.59%,168,35.11,0,0,59,4.53,1,0,4,0.23,13,30.76%,4
prashanth kumar rai,92,367,16,80.38%,678,52.8,8,11,358,3.89,3,0,9,0.06,46,19.56%,All
prashanth kumar rai,11,46,10,76%,75,61.33,0,1,46,4.18,0,0,0,0,5,0,7
prashanth kumar rai,21,147,13,81.99%,261,55.17,2,5,144,6.85,1,0,3,0.09,9,33.33%,6
prashanth kumar rai,16,80,16,82.55%,149,52.34,3,3,78,4.87,1,0,2,0.06,10,20%,5
prashanth kumar rai,9,19,10,76.92%,39,48.71,2,1,19,2.11,0,0,0,0,0,0,4
prashanth kumar rai,13,12,3,68.57%,35,34.28,0,0,12,0.92,0,0,0,0,4,0,3
prashanth kumar rai,15,58,10,82.07%,106,50.94,1,1,54,3.6,1,0,4,0.2,10,40%,2
prashanth kumar rai,7,5,2,76.92%,13,38.46,0,0,5,0.71,0,0,0,0,8,0,1
rishank devadiga,116,640,28,74.76%,1256,47.29,25,10,594,5.12,2,0,46,0.37,142,32.39%,All
rishank devadiga,13,46,9,83.60%,122,36.88,2,0,45,3.46,0,0,1,0.07,8,12.50%,7
rishank devadiga,23,104,10,79.77%,262,38.16,3,1,100,4.34,0,0,4,0.17,19,21.05%,6
rishank devadiga,21,170,28,75.73%,305,54.09,12,5,165,7.85,1,0,5,0.19,16,31.25%,5
rishank devadiga,14,70,11,70.21%,141,49.64,2,2,70,5,0,0,0,0,17,0,4
rishank devadiga,16,115,14,74.45%,184,57.6,4,2,106,6.62,1,0,9,0.5,22,40.90%,3
rishank devadiga,13,58,8,67.50%,120,36.66,0,0,44,3.38,0,0,14,1.07,26,53.84%,2
rishank devadiga,16,77,9,65.57%,122,52.45,2,0,64,4,0,0,13,0.81,34,38.23%,1
suraj desai,12,45,18,69.90%,103,42.71,1,1,44,3.66,0,0,1,0.08,7,14.28%,All
suraj desai,12,45,18,69.90%,103,42.71,1,1,44,3.66,0,0,1,0.08,7,14.28%,7
suraj desai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
